,loc,species,treatment,animal_id,sl,size,activity,comment
60,LIRS 2014,chromis,control,184,35.2513497,big,25.85333333,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
61,LIRS 2014,chromis,control,186,44.65884274,big,23.03703704,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
62,LIRS 2014,acantho,control,188,50.42919693,big,7.003846154,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
63,LIRS 2014,acantho,control,189,72.09982093,big,7.403703704,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
64,LIRS 2014,acantho,control,190,50.11667687,big,22.944,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
65,LIRS 2014,chromis,control,193,37.6824722,big,25.34210526,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
66,LIRS 2014,chromis,control,195,46.07585245,big,23.44074074,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
67,LIRS 2014,acantho,control,197,89.29884683,big,1.425925926,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
68,LIRS 2014,chromis,control,200,35.48665,big,26.82631579,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
69,LIRS 2014,chromis,control,203,47.21410865,big,33.2047619,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
70,LIRS 2014,humbug,control,206,55.55920302,big,1.418518519,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
71,LIRS 2014,humbug,control,207,38.3030582,big,22.61111111,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
72,LIRS 2014,acantho,control,211,76.16241497,big,6.359259259,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
73,LIRS 2014,acantho,control,900,78,big,NA,recording failed
74,LIRS 2014,acantho,control,876,68,big,NA,recording failed
75,LIRS 2014,acantho,control,212,51.24052455,big,18.30588235,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
76,LIRS 2014,acantho,control,213,64.92382956,big,3.011111111,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
77,LIRS 2014,humbug,control,214,67.10209218,big,33.27037037,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
78,LIRS 2014,humbug,control,217,42.7792461,big,35.93703704,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
79,LIRS 2014,humbug,control,247,61.63505358,big,33.356,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
80,LIRS 2014,humbug,control,248,38.92450354,big,9.936363636,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
81,LIRS 2014,humbug,control,250,37.77994742,big,24.62222222,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
82,LIRS 2014,humbug,control,253,46.26770195,big,14.3962963,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
83,LIRS 2014,humbug,control,256,36.12151082,big,9.185185185,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
84,LIRS 2014,humbug,control,257,43.77962195,big,14.02592593,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
85,LIRS 2016,humbug,CO2,110,43,big,34.21891892,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
86,LIRS 2016,humbug,CO2,115,39,big,38.72972973,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
87,LIRS 2016,humbug,CO2,120,41,big,33.65405405,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
88,LIRS 2016,humbug,CO2,125,40,big,53.13513514,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
89,LIRS 2016,humbug,CO2,130,44,big,51.10810811,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
90,LIRS 2016,humbug,CO2,140,41,big,54.75945946,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
91,LIRS 2016,humbug,CO2,145,36,big,30.87837838,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
92,LIRS 2016,humbug,CO2,150,40,big,36.1027027,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
93,LIRS 2016,humbug,CO2,155,40,big,45.36756757,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
94,LIRS 2016,humbug,CO2,165,38,big,53.5,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
95,LIRS 2016,humbug,CO2,295,36,big,24.85454545,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
96,LIRS 2016,acantho,CO2,300,44,big,30,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
97,LIRS 2016,acantho,CO2,315,40,big,33.57297297,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
98,LIRS 2016,whitedams,CO2,375,37,big,31.32,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
99,LIRS 2016,humbug,CO2,390,39,big,36.37567568,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
100,LIRS 2016,acantho,CO2,NA,38.4,big,22.91621622,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
101,LIRS 2016,acantho,CO2,NA,37.7,big,33.88648649,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
102,LIRS 2016,acantho,CO2,NA,46,big,19.73513514,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
103,LIRS 2016,acantho,CO2,NA,43.1,big,37.81351351,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
104,LIRS 2016,acantho,CO2,NA,79.7,big,2.335135135,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
105,LIRS 2016,acantho,CO2,NA,72.1,big,10.37297297,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
106,LIRS 2016,acantho,CO2,NA,74,big,15.47567568,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
107,LIRS 2016,acantho,CO2,NA,75.5,big,6.537837838,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
108,LIRS 2016,acantho,CO2,NA,78,big,15.76756757,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
109,LIRS 2016,humbug,CO2,NA,45.6,big,18.5027027,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
110,LIRS 2016,humbug,CO2,NA,47.3,big,34.37297297,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
111,LIRS 2016,humbug,CO2,NA,54.8,big,45.40540541,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
112,LIRS 2016,humbug,CO2,NA,44.4,big,14.38378378,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
113,LIRS 2016,humbug,CO2,NA,50.4,big,32.11891892,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
114,LIRS 2016,humbug,CO2,NA,46.5,big,48.92972973,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
115,LIRS 2016,humbug,CO2,NA,41,big,52.34054054,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
116,LIRS 2016,acantho,control,55,41,big,18.98648649,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
117,LIRS 2016,acantho,control,60,41,big,14.67567568,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
118,LIRS 2016,acantho,control,65,46,big,10.05945946,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
119,LIRS 2016,acantho,control,70,51,big,17.44864865,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
120,LIRS 2016,acantho,control,75,49,big,24.9,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
121,LIRS 2016,acantho,control,80,36,big,28.97567568,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
122,LIRS 2016,acantho,control,85,39,big,32.83243243,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
123,LIRS 2016,humbug,control,95,51,big,34.53513514,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
124,LIRS 2016,humbug,control,100,39,big,33.75405405,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
125,LIRS 2016,humbug,control,105,42,big,34.21891892,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
126,LIRS 2016,humbug,control,220,41,big,34.88108108,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
127,LIRS 2016,humbug,control,235,45,big,52.06216216,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
128,LIRS 2016,humbug,control,255,39,big,45.98108108,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
129,LIRS 2016,humbug,control,325,36,big,31.82702703,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
130,LIRS 2016,humbug,control,330,39,big,52.35945946,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
131,LIRS 2016,humbug,control,340,40,big,52.77567568,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
132,LIRS 2016,whitedams,control,350,44,big,31.45142857,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
133,LIRS 2016,humbug,control,360,39,big,34.11621622,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
134,LIRS 2016,humbug,control,365,42,big,24.67352941,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
135,LIRS 2016,humbug,control,370,37,big,55.04864865,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
136,LIRS 2016,acantho,control,NA,49.6,big,24.43142857,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
137,LIRS 2016,acantho,control,NA,37,big,36.18918919,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
138,LIRS 2016,acantho,control,NA,42.2,big,17.23636364,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
139,LIRS 2016,acantho,control,NA,80.8,big,3.232432432,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
140,LIRS 2016,acantho,control,NA,79.4,big,4.075675676,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
141,LIRS 2016,acantho,control,NA,59,big,22.22162162,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
142,LIRS 2016,acantho,control,NA,68.2,big,10.14864865,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
143,LIRS 2016,acantho,control,NA,75.2,big,23.37297297,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
144,LIRS 2016,acantho,control,NA,81.5,big,13.08918919,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
145,LIRS 2016,humbug,control,NA,50.8,big,47.08108108,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
146,LIRS 2016,humbug,control,NA,51.6,big,43.24864865,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
147,LIRS 2016,humbug,control,NA,52,big,46.45675676,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
148,LIRS 2016,humbug,control,NA,51.5,big,53.53243243,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
149,LIRS 2016,humbug,control,NA,54.8,big,25.12702703,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
150,LIRS 2016,humbug,control,NA,46.5,big,50.05135135,37min means of sml+lrg dur; from Activity for JJ stats.xlsx
151,LIRS 2014,lemon,CO2,41,27.75675383,big,40.412,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
152,LIRS 2014,lemon,CO2,42,25.60743739,big,8.963636364,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
153,LIRS 2014,lemon,CO2,44,29.50061339,big,13.54,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
154,LIRS 2014,lemon,CO2,45,30.30041258,big,18.82222222,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
155,LIRS 2014,lemon,CO2,46,28.9,big,31.44444444,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
156,LIRS 2014,lemon,CO2,62,28.40418829,big,26.15833333,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
157,LIRS 2014,lemon,CO2,63,30.07620587,big,12.16428571,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
158,LIRS 2014,ambon,CO2,66,29.97531376,big,26.94761905,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
159,LIRS 2014,lemon,CO2,69,32.47772288,big,42.7962963,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
160,LIRS 2014,lemon,CO2,70,26.50904849,big,24.85555556,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
161,LIRS 2014,lemon,CO2,71,22.22558518,big,44.69166667,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
162,LIRS 2014,lemon,CO2,73,32.955251,big,33.35384615,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
163,LIRS 2014,lemon,CO2,76,28.53019968,big,34.228,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
164,LIRS 2014,lemon,CO2,77,24.80462605,big,18.06428571,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
165,LIRS 2014,lemon,CO2,78,30.84693049,big,20.17083333,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
166,LIRS 2014,lemon,CO2,79,25.45088586,big,26.775,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
167,LIRS 2014,lemon,CO2,80,28.40418829,big,29.28888889,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
168,LIRS 2014,lemon,CO2,82,22.63083544,big,10.45714286,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
169,LIRS 2014,ambon,CO2,86,34.3624388,big,33.15185185,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
170,LIRS 2014,ambon,CO2,87,30.08270859,big,19.20416667,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
171,LIRS 2014,ambon,CO2,90,33.6368921,big,41.58,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
172,LIRS 2014,ambon,CO2,159,31.69220501,big,17.77407407,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
173,LIRS 2014,ambon,CO2,161,25.77948544,big,6.090909091,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
174,LIRS 2014,ambon,CO2,162,31.78670485,big,9.784615385,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
175,LIRS 2014,ambon,CO2,165,33.13235491,big,7.165,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
176,LIRS 2014,chromis,CO2,220,27.28147731,big,11.28518519,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
177,LIRS 2014,chromis,CO2,227,20.17558978,big,26.35714286,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
178,LIRS 2014,chromis,CO2,228,33.50658541,big,30.04444444,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
179,LIRS 2014,chromis,CO2,229,28.96958463,big,12.48,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
180,LIRS 2014,chromis,CO2,230,34.40149637,big,39.488,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
181,LIRS 2014,chromis,CO2,235,33.24175197,big,38.62592593,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
182,LIRS 2014,humbug,CO2,237,21.32198294,big,51.36296296,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
183,LIRS 2014,humbug,CO2,238,34.09038583,big,11.04444444,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
184,LIRS 2014,humbug,CO2,239,32.3,big,42.60740741,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
185,LIRS 2014,chromis,CO2,240,22.18035869,big,28.54444444,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
186,LIRS 2014,chromis,CO2,242,21.55384681,big,9.566666667,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
187,LIRS 2014,chromis,CO2,243,18.99992361,big,26.26666667,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
188,LIRS 2014,chromis,CO2,244,20.17558978,big,42.28571429,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
189,LIRS 2014,humbug,CO2,260,21.49552684,big,44.67037037,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
190,LIRS 2014,humbug,CO2,262,26.62151159,big,43.26296296,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
191,LIRS 2014,humbug,CO2,263,28.03887514,big,31.476,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
192,LIRS 2014,humbug,CO2,264,25.79484581,big,50.285,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
193,LIRS 2014,humbug,CO2,265,29.61499335,big,37.71538462,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
194,LIRS 2014,humbug,CO2,266,34.58480815,big,37.33461538,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
195,LIRS 2014,humbug,CO2,267,26.62151159,big,27.90769231,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
196,LIRS 2014,humbug,CO2,269,28.84741645,big,37.48148148,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
197,LIRS 2014,humbug,CO2,270,17.5833242,big,47.652,"27min means of sml+lrg dur, from All Lizard activity data for JJ v2_7 Jun 2017.xlsx"
