Study,Authors,Year (online),Year (print),Title,Journal,Pub year IF,2017 IF,Average n,Effect type,Species,Climate (FishBase),Env cue/stimulus?,Cue/stimulus type,Behavioural metric,Life stage,ctrl.n,ctrl.mean,ctrl.sd,oa.n,oa.mean,oa.sd
a2,Dixson et al,2009,2010,Ocean acidification disrupts the innate ability of fish to detect predator olfactory cues,Ecol Lett,10.318,9.137,15,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in predator cue, settlement stg, pred 1 vs. non-pred 1",Larvae,45,0.0001,0.0007,45,49.206,3.5486
a2,Dixson et al,2009,2010,Ocean acidification disrupts the innate ability of fish to detect predator olfactory cues,Ecol Lett,10.318,9.137,15,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in predator cue, settlement stg, non-pred 2 vs. pred 2",Larvae,45,0.0001,0.0007,45,49.206,0.0007
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 1 dph, 550ppm (Fig 1)",Larvae,22,11.899,2.025,22,9.873,1.772
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 1 dph, 700ppm (Fig 1)",Larvae,22,11.899,2.025,22,14.177,2.785
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 1 dph, 850ppm (Fig 1)",Larvae,22,11.899,2.025,22,18.481,1.772
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 2 dph, 550ppm (Fig 1)",Larvae,22,11.646,2.532,22,12.658,4.304
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 2 dph, 700ppm (Fig 1)",Larvae,22,11.646,2.532,22,15.443,4.304
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 2 dph, 850ppm (Fig 1)",Larvae,22,11.646,2.532,22,82.785,1.772
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 3 dph, 550ppm (Fig 1)",Larvae,22,11.392,2.278,22,12.152,2.532
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 3 dph, 700ppm (Fig 1)",Larvae,22,11.392,2.278,22,22.025,4.304
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 3 dph, 850ppm (Fig 1)",Larvae,22,11.392,2.278,22,83.038,4.81
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 4 dph, 550ppm (Fig 1)",Larvae,20,9.62,3.038,20,11.646,2.278
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 4 dph, 700ppm (Fig 1)",Larvae,20,9.62,3.038,20,44.051,32.658
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 4 dph, 850ppm (Fig 1)",Larvae,20,9.62,3.038,20,87.848,3.291
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 5 dph, 550ppm (Fig 1)",Larvae,20,11.899,3.038,20,11.139,2.785
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 5 dph, 700ppm (Fig 1)",Larvae,20,11.899,3.038,20,30.633,28.101
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 5 dph, 850ppm (Fig 1)",Larvae,20,11.899,3.038,20,87.595,3.038
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 6 dph, 550ppm (Fig 1)",Larvae,22,9.62,2.278,22,8.861,3.797
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 6 dph, 700ppm (Fig 1)",Larvae,22,9.62,2.278,22,41.519,35.949
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 6 dph, 850ppm (Fig 1)",Larvae,22,9.62,2.278,22,87.089,4.051
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 8 dph, 550ppm (Fig 1)",Larvae,18,0.0001,0.0001,22,0.0001,0.0001
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 8 dph, 700ppm (Fig 1)",Larvae,18,0.0001,0.0001,22,43.544,42.532
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 8 dph, 850ppm (Fig 1)",Larvae,18,0.0001,0.0001,22,98.481,2.532
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 10 dph, 550ppm (Fig 1)",Larvae,25,0.0001,0.0001,25,0.0001,0.0001
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 10 dph, 700ppm (Fig 1)",Larvae,25,0.0001,0.0001,25,44.337,42.892
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, 10 dph,850ppm (Fig 1)",Larvae,25,0.0001,0.0001,25,93.735,4.337
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, day 1, 550ppm (Fig 2a)",Larvae,10,0.0001,0.0001,10,0.0001,0.0001
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, day 1, 700ppm (Fig 2a)",Larvae,10,0.0001,0.0001,10,0.0001,0.0001
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, day 1, 850ppm (Fig 2a)",Larvae,10,0.0001,0.0001,10,0.563,0.563
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, day 2, 550ppm (Fig 2a)",Larvae,10,0.0001,0.0001,10,0.0001,0.0001
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, day 2, 700ppm (Fig 2a)",Larvae,10,0.0001,0.0001,10,7.324,20.563
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, day 2, 850ppm (Fig 2a)",Larvae,10,0.0001,0.0001,10,79.437,7.042
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, day 3, 550ppm (Fig 2a)",Larvae,10,0.0001,0.0001,10,0.0001,0.0001
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, day 3, 700ppm (Fig 2a)",Larvae,10,0.0001,0.0001,10,12.394,16.338
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, day 3, 850ppm (Fig 2a)",Larvae,10,0.0001,0.0001,10,86.479,5.07
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, day 4, 550ppm (Fig 2a)",Larvae,10,0.0001,0.0001,10,0.0001,0.0001
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, day 4, 700ppm (Fig 2a)",Larvae,10,0.0001,0.0001,10,48.187,40.933
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Amphiprion percula,Trop,Yes,Predator,"% time in cue, day 4, 850ppm (Fig 2a)",Larvae,10,0.0001,0.0001,10,89.119,2.073
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Pomacentrus wardi,Trop,Yes,Predator,"% time in cue, day 1, 550ppm (Fig 2b)",Larvae,10,1.972,3.662,10,3.944,3.169
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Pomacentrus wardi,Trop,Yes,Predator,"% time in cue, day 1, 700ppm (Fig 2b)",Larvae,10,1.972,3.662,10,2.817,2.254
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Pomacentrus wardi,Trop,Yes,Predator,"% time in cue, day 1, 850ppm (Fig 2b)",Larvae,10,1.972,3.662,10,1.69,8.451
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Pomacentrus wardi,Trop,Yes,Predator,"% time in cue, day 2, 550ppm (Fig 2b)",Larvae,10,3.099,3.944,10,5.07,5.07
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Pomacentrus wardi,Trop,Yes,Predator,"% time in cue, day 2, 700ppm (Fig 2b)",Larvae,10,3.099,3.944,10,5.07,39.437
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Pomacentrus wardi,Trop,Yes,Predator,"% time in cue, day 2, 850ppm (Fig 2b)",Larvae,10,3.099,3.944,10,85.634,16.056
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Pomacentrus wardi,Trop,Yes,Predator,"% time in cue, day 3, 550ppm (Fig 2b)",Larvae,17,1.972,1.69,10,6.479,3.944
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Pomacentrus wardi,Trop,Yes,Predator,"% time in cue, day 3, 700ppm (Fig 2b)",Larvae,17,1.972,1.69,10,63.099,42.254
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Pomacentrus wardi,Trop,Yes,Predator,"% time in cue, day 3, 850ppm (Fig 2b)",Larvae,17,1.972,1.69,17,91.831,14.085
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Pomacentrus wardi,Trop,Yes,Predator,"% time in cue, day 4, 550ppm (Fig 2b)",Larvae,20,1.69,1.127,10,4.167,2.604
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Pomacentrus wardi,Trop,Yes,Predator,"% time in cue, day 4, 700ppm (Fig 2b)",Larvae,20,1.69,1.127,109,48.438,45.312
a3,Munday et al,2010,2010,Replenishment of fish populations is threatened by ocean acidification,PNAS,9.771,9.504,18,Strong,Pomacentrus wardi,Trop,Yes,Predator,"% time in cue, day 4, 850ppm (Fig 2b)",Larvae,20,1.69,1.127,20,93.229,5.208
a4,Cripps et al,2011,2011,Ocean Acidification Affects Prey Detection by a Predatory Reef Fish,PLoS One,4.092,2.766,9,Strong,Pseudochromis fuscus,Trop,Yes,Predator,"Prop time in prey cue, mid CO2",Adult,10,0.59,0.098,10,0.398,0.1202
a4,Cripps et al,2011,2011,Ocean Acidification Affects Prey Detection by a Predatory Reef Fish,PLoS One,4.092,2.766,9,Strong,Pseudochromis fuscus,Trop,Yes,Predator,"Prop time in prey cue, high CO2",Adult,10,0.59,0.098,14,0.412,0.1422
a4,Cripps et al,2011,2011,Ocean Acidification Affects Prey Detection by a Predatory Reef Fish,PLoS One,4.092,2.766,9,Strong,Pseudochromis fuscus,Trop,No,-,"Line crosses, mid CO2",Adult,10,140,43.1936,8,143.415,117.4449
a4,Cripps et al,2011,2011,Ocean Acidification Affects Prey Detection by a Predatory Reef Fish,PLoS One,4.092,2.766,9,Strong,Pseudochromis fuscus,Trop,No,-,"Line crosses, high CO2",Adult,10,140,43.1936,7,269.756,154.5283
a4,Cripps et al,2011,2011,Ocean Acidification Affects Prey Detection by a Predatory Reef Fish,PLoS One,4.092,2.766,9,Strong,Pseudochromis fuscus,Trop,No,-,"Response time, mid CO2",Adult,9,71.078,73.6305,7,172.794,97.271
a4,Cripps et al,2011,2011,Ocean Acidification Affects Prey Detection by a Predatory Reef Fish,PLoS One,4.092,2.766,9,Strong,Pseudochromis fuscus,Trop,No,-,"Response time, high CO2",Adult,9,71.078,73.6305,7,115.196,100.5121
a4,Cripps et al,2011,2011,Ocean Acidification Affects Prey Detection by a Predatory Reef Fish,PLoS One,4.092,2.766,9,Strong,Pseudochromis fuscus,Trop,No,-,"Distance from shelter, mid CO2",Adult,10,228.571,127.9964,8,290.476,289.7733
a4,Cripps et al,2011,2011,Ocean Acidification Affects Prey Detection by a Predatory Reef Fish,PLoS One,4.092,2.766,9,Strong,Pseudochromis fuscus,Trop,No,-,"Distance from shelter, high CO2",Adult,10,228.571,127.9964,7,378.571,208.7662
a4,Cripps et al,2011,2011,Ocean Acidification Affects Prey Detection by a Predatory Reef Fish,PLoS One,4.092,2.766,9,Strong,Pseudochromis fuscus,Trop,No,-,"Feeding strikes, mid CO2",Adult,9,21.238,12.9685,7,8.168,7.4663
a4,Cripps et al,2011,2011,Ocean Acidification Affects Prey Detection by a Predatory Reef Fish,PLoS One,4.092,2.766,9,Strong,Pseudochromis fuscus,Trop,No,-,"Feeding strikes, high CO2",Adult,9,21.238,12.6807,7,21.535,15.3242
a5,Ferrari et al,2011,2011,Putting prey and predator into the CO 2 equation – qualitative and quantitative effects of ocean acidification on predator–prey interactions,Ecol Lett,17.557,9.137,18,Strong,Pomacentrus moluccensis,Trop,Yes,Prey,"Prey selectivity, small recruits",Adult,18,19.296,31.981,14,25.025,32.7171
a5,Ferrari et al,2011,2011,Putting prey and predator into the CO 2 equation – qualitative and quantitative effects of ocean acidification on predator–prey interactions,Ecol Lett,17.557,9.137,18,Strong,Pomacentrus amboinensis,Trop,Yes,Prey,"Prey selectivity, small recruits",Adult,18,33.467,37.0977,14,25.93,27.0746
a5,Ferrari et al,2011,2011,Putting prey and predator into the CO 2 equation – qualitative and quantitative effects of ocean acidification on predator–prey interactions,Ecol Lett,17.557,9.137,18,Strong,Pomacentrus nagasakiensis,Trop,Yes,Prey,"Prey selectivity, small recruits",Adult,18,18.392,34.5393,14,28.04,28.2046
a5,Ferrari et al,2011,2011,Putting prey and predator into the CO 2 equation – qualitative and quantitative effects of ocean acidification on predator–prey interactions,Ecol Lett,17.557,9.137,18,Strong,Pomacentrus chrysurus,Trop,Yes,Prey,"Prey selectivity, small recruits",Adult,18,28.643,44.7726,14,21.106,24.8184
a5,Ferrari et al,2011,2011,Putting prey and predator into the CO 2 equation – qualitative and quantitative effects of ocean acidification on predator–prey interactions,Ecol Lett,17.557,9.137,18,Strong,Pomacentrus moluccensis,Trop,Yes,Prey,"Prey selectivity, large recruits",Adult,20,7.692,17.8885,20,41.615,59.1708
a5,Ferrari et al,2011,2011,Putting prey and predator into the CO 2 equation – qualitative and quantitative effects of ocean acidification on predator–prey interactions,Ecol Lett,17.557,9.137,18,Strong,Pomacentrus amboinensis,Trop,Yes,Prey,"Prey selectivity, large recruits",Adult,20,18.231,31.6493,20,31.154,55.043
a5,Ferrari et al,2011,2011,Putting prey and predator into the CO 2 equation – qualitative and quantitative effects of ocean acidification on predator–prey interactions,Ecol Lett,17.557,9.137,18,Strong,Pomacentrus nagasakiensis,Trop,Yes,Prey,"Prey selectivity, large recruits",Adult,20,37.923,50.9153,20,10.846,32.906
a5,Ferrari et al,2011,2011,Putting prey and predator into the CO 2 equation – qualitative and quantitative effects of ocean acidification on predator–prey interactions,Ecol Lett,17.557,9.137,18,Strong,Pomacentrus chrysurus,Trop,Yes,Prey,"Prey selectivity, large recruits",Adult,20,36.077,49.5378,20,14.538,35.7771
a6,Ferrari et al ,2011,2011,Intrageneric variation in antipredator responses of coral reef fishes affected by ocean acidification: implications for climate change projections on marine communities,Glob Change Biol,6.862,8.997,20,Strong,Pomacentrus nagasakiensis,Trop,Yes,Predator,"Prop change in response, 700 ppm",Juvenile,20,0.511,0.1386,20,0.355,0.2504
a6,Ferrari et al ,2011,2011,Intrageneric variation in antipredator responses of coral reef fishes affected by ocean acidification: implications for climate change projections on marine communities,Glob Change Biol,6.862,8.997,20,Strong,Pomacentrus nagasakiensis,Trop,Yes,Predator,"Prop change in response, 850 ppm",Juvenile,20,0.511,0.1386,20,0.294,0.2415
a6,Ferrari et al ,2011,2011,Intrageneric variation in antipredator responses of coral reef fishes affected by ocean acidification: implications for climate change projections on marine communities,Glob Change Biol,6.862,8.997,20,Strong,Pomacentrus moluccensis,Trop,Yes,Predator,"Prop change in response, 700 ppm",Juvenile,20,0.408,0.1476,20,0.182,0.3086
a6,Ferrari et al ,2011,2011,Intrageneric variation in antipredator responses of coral reef fishes affected by ocean acidification: implications for climate change projections on marine communities,Glob Change Biol,6.862,8.997,20,Strong,Pomacentrus moluccensis,Trop,Yes,Predator,"Prop change in response, 850 ppm",Juvenile,20,0.408,0.1476,20,-0.015,0.2504
a6,Ferrari et al ,2011,2011,Intrageneric variation in antipredator responses of coral reef fishes affected by ocean acidification: implications for climate change projections on marine communities,Glob Change Biol,6.862,8.997,20,Strong,Pomacentrus chrysurus,Trop,Yes,Predator,"Prop change in response, 700 ppm",Juvenile,20,0.501,0.0805,20,0.222,0.3801
a6,Ferrari et al ,2011,2011,Intrageneric variation in antipredator responses of coral reef fishes affected by ocean acidification: implications for climate change projections on marine communities,Glob Change Biol,6.862,8.997,20,Strong,Pomacentrus chrysurus,Trop,Yes,Predator,"Prop change in response, 850 ppm",Juvenile,20,0.501,0.0447,20,-0.092,0.2057
a6,Ferrari et al ,2011,2011,Intrageneric variation in antipredator responses of coral reef fishes affected by ocean acidification: implications for climate change projections on marine communities,Glob Change Biol,6.862,8.997,20,Strong,Pomacentrus amboinensis,Trop,Yes,Predator,"Prop change in response, 700 ppm",Juvenile,20,0.426,0.2147,20,0.018,0.3399
a6,Ferrari et al ,2011,2011,Intrageneric variation in antipredator responses of coral reef fishes affected by ocean acidification: implications for climate change projections on marine communities,Glob Change Biol,6.862,8.997,20,Strong,Pomacentrus amboinensis,Trop,Yes,Predator,"Prop change in response, 850 ppm",Juvenile,20,0.426,0.2147,20,-0.081,0.2191
a7,Simpson et al,2011,2011,Ocean acidification erodes crucial auditory behaviour in a marine fish,Biol Lett,3.762,3.345,26,Strong,Amphiprion percula,Trop,Yes,Auditory,"% time at speaker (or 'in cue'), 600 uatm",Juvenile,30,0.276,0.2848,13,0.586,0.3786
a7,Simpson et al,2011,2011,Ocean acidification erodes crucial auditory behaviour in a marine fish,Biol Lett,3.762,3.345,26,Strong,Amphiprion percula,Trop,Yes,Auditory,"% time at speaker (or 'in cue'), 700 uatm",Juvenile,30,0.276,0.2848,21,0.645,0.3483
a7,Simpson et al,2011,2011,Ocean acidification erodes crucial auditory behaviour in a marine fish,Biol Lett,3.762,3.345,26,Strong,Amphiprion percula,Trop,Yes,Auditory,"% time at speaker (or 'in cue'), 900 uatm",Juvenile,30,0.276,0.2848,30,0.602,0.3396
a8,Devine et al,2011,2012,Homing ability of adult cardinalfish is affected by elevated carbon dioxide,Oecologia,3.412,3.127,25,Strong,Cheilodipterus quinquelineatus,Trop,Yes,Habitat,"% time in homing cue, 550 ppm",Adult,27,63.881,3.7758,23,38.507,8.5893
a8,Devine et al,2011,2012,Homing ability of adult cardinalfish is affected by elevated carbon dioxide,Oecologia,3.412,3.127,25,Strong,Cheilodipterus quinquelineatus,Trop,Yes,Habitat,"% time in homing cue, 700 ppm",Adult,27,63.881,3.7758,22,38.507,7.1388
a8,Devine et al,2011,2012,Homing ability of adult cardinalfish is affected by elevated carbon dioxide,Oecologia,3.412,3.127,25,Strong,Cheilodipterus quinquelineatus,Trop,Yes,Habitat,"% time in homing cue, 960 ppm",Adult,27,63.881,6.2042,22,43.284,1.4024
a9,Devine et al,2011,2012,Rising CO2 concentrations affect settlement behaviour of larval damselfishes,Coral Reefs,3.878,3.095,15,Strong,Pomacentrus moluccensis,Trop,Yes,Habitat,"% time in hard coral cue, hard vs. soft coral, 700 ppm",Larvae,15,74.39,0.0237,15,62.195,14.3011
a9,Devine et al,2011,2012,Rising CO2 concentrations affect settlement behaviour of larval damselfishes,Coral Reefs,3.878,3.095,15,Strong,Pomacentrus moluccensis,Trop,Yes,Habitat,"% time in hard coral cue, hard vs. soft coral, 850 ppm",Larvae,15,74.39,12.6734,15,61.943,8.5788
